#	size	dq_d	dm_d	comp_d	id_d	L2m_d	L3m_d	dq_g	dm_g	comp_g	id_g	L2m_g	L3m_g
	A	0.06	0.26	1.91	0.02	0	0	0.05	0.12	1.93	0.04	0	0		
	B	0.14	0.32	2.90	0.03	0	0	0.08	0.22	2.96	0.06	0	0
	C	0.23	0.87	4.80	0.06	0	0	0.14	0.60	4.86	0.07	0	0
	D	0.94	1.73	8.11	0.09	0	0	0.42	0.97	8.30	0.09	0	0
